INFO  - 2015-12-11 05:26:29.843; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.856; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.856; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2015-12-11 05:26:29.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2015-12-11 05:26:29.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2015-12-11 05:26:29.857; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2015-12-11 05:26:29.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2015-12-11 05:26:29.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2015-12-11 05:26:29.858; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2015-12-11 05:26:29.859; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2015-12-11 05:26:29.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2015-12-11 05:26:29.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2015-12-11 05:26:29.860; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2015-12-11 05:26:29.861; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2015-12-11 05:26:29.861; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2015-12-11 05:26:29.861; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2015-12-11 05:26:29.861; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2015-12-11 05:26:29.862; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2015-12-11 05:26:29.862; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2015-12-11 05:26:29.862; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2015-12-11 05:26:29.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2015-12-11 05:26:29.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2015-12-11 05:26:29.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2015-12-11 05:26:29.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2015-12-11 05:26:29.863; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2015-12-11 05:26:29.864; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2015-12-11 05:26:30.000; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2015-12-11 05:26:30.005; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2015-12-11 05:26:30.081; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2015-12-11 05:26:30.085; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2015-12-11 05:26:30.136; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2015-12-11 05:26:30.488; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2015-12-11 05:26:30.497; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2015-12-11 05:26:30.497; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2015-12-11 05:26:30.547; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-12-11 05:26:30.552; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2015-12-11 05:26:30.613; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /Users/raj/pprojects/lucene-term-score-spike/solr-4.10.4/example/solr/collection1/
INFO  - 2015-12-11 05:26:30.627; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
